date,darshans,weekend,summer,is_public_holiday,is_festival,is_brahmostavam,darshans_lag1,darshans_lag7,rolling_avg_7_safe,google_trend_lag1,temp_max_lag1,temp_min_lag1,rainfall_lag1,humidity_lag1,temp_range_lag1,rainfall_lag1_log
2022-03-01,53163,0,0,1,1,0,55532.0,38000.0,53549.42857142857,8.0,32.9,18.6,0.0,64.0,14.299999999999997,0.0
2022-03-02,46172,0,0,0,0,0,53163.0,37216.0,55715.57142857143,6.0,33.8,19.1,0.0,58.0,14.699999999999996,0.0
2022-03-03,50511,0,0,0,0,0,46172.0,53740.0,56995.0,6.0,33.5,18.1,0.0,49.0,15.399999999999999,0.0
2022-03-04,56686,0,0,0,0,0,50511.0,56559.0,56533.71428571428,5.0,31.8,18.7,0.0,59.0,13.100000000000001,0.0
2022-03-05,67750,1,0,0,0,0,56686.0,65704.0,56551.857142857145,5.0,32.8,19.5,0.0,66.0,13.299999999999997,0.0
2022-03-06,61052,1,0,0,0,0,67750.0,68095.0,56844.142857142855,5.0,32.7,20.5,0.0,67.0,12.200000000000003,0.0
2022-03-07,57904,0,0,0,0,0,61052.0,55532.0,55838.0,6.0,31.7,20.6,0.1,65.0,11.099999999999998,0.09531017980432487
2022-03-08,58561,0,0,0,0,0,57904.0,53163.0,56176.857142857145,6.0,32.6,22.7,0.0,54.0,9.900000000000002,0.0
2022-03-09,59086,0,0,0,0,0,58561.0,46172.0,56948.0,5.0,34.9,20.7,0.0,64.0,14.2,0.0
2022-03-10,61620,0,0,0,0,0,59086.0,50511.0,58792.857142857145,5.0,35.3,20.4,0.0,55.0,14.899999999999999,0.0
2022-03-11,65192,0,0,0,0,0,61620.0,56686.0,60379.857142857145,5.0,34.8,19.8,0.0,54.0,14.999999999999996,0.0
2022-03-12,75775,1,0,0,0,0,65192.0,67750.0,61595.0,5.0,34.8,19.3,0.0,53.0,15.499999999999996,0.0
2022-03-13,74167,1,0,0,0,0,75775.0,61052.0,62741.42857142857,6.0,34.9,19.1,0.0,44.0,15.799999999999997,0.0
2022-03-14,65155,0,0,0,0,0,74167.0,57904.0,64615.0,6.0,35.4,20.5,0.0,42.0,14.899999999999999,0.0
2022-03-15,61982,0,0,0,0,0,65155.0,58561.0,65650.85714285714,5.0,36.1,21.0,0.0,46.0,15.100000000000001,0.0
2022-03-16,64368,0,0,0,0,0,61982.0,59086.0,66139.57142857143,5.0,36.7,21.2,0.0,47.0,15.500000000000004,0.0
2022-03-17,66577,0,0,0,0,0,64368.0,61620.0,66894.14285714286,5.0,37.5,20.5,0.0,40.0,17.0,0.0
2022-03-18,66763,0,0,1,0,0,66577.0,65192.0,67602.28571428571,6.0,38.6,21.1,0.0,44.0,17.5,0.0
2022-03-19,80429,1,0,0,0,0,66763.0,75775.0,67826.71428571429,7.0,38.7,21.6,0.0,46.0,17.1,0.0
2022-03-20,72265,1,0,0,0,0,80429.0,74167.0,68491.57142857143,9.0,37.2,23.4,0.0,61.0,13.800000000000004,0.0
2022-03-21,70408,0,0,0,0,0,72265.0,65155.0,68219.85714285714,13.0,37.1,25.5,4.6,58.0,11.600000000000001,1.7227665977411035
2022-03-22,69711,0,0,0,0,0,70408.0,61982.0,68970.28571428571,16.0,38.7,24.8,0.1,56.0,13.900000000000002,0.09531017980432487
2022-03-23,64986,0,0,0,0,0,69711.0,64368.0,70074.42857142857,11.0,36.8,25.1,0.0,57.0,11.699999999999996,0.0
2022-03-24,63042,0,0,0,0,0,64986.0,66577.0,70162.71428571429,9.0,37.8,25.4,0.0,64.0,12.399999999999999,0.0
2022-03-25,65418,0,0,0,0,0,63042.0,66763.0,69657.71428571429,8.0,36.8,25.2,0.2,62.0,11.599999999999998,0.18232155679395465
2022-03-26,69897,1,0,0,0,0,65418.0,80429.0,69465.57142857143,7.0,37.2,25.1,0.0,63.0,12.100000000000001,0.0
2022-03-27,71167,1,0,0,0,0,69897.0,72265.0,67961.0,7.0,36.8,25.5,0.0,62.0,11.299999999999997,0.0
2022-03-28,62956,0,0,0,0,0,71167.0,70408.0,67804.14285714286,5.0,37.9,25.1,0.0,58.0,12.799999999999997,0.0
2022-03-29,54396,0,0,0,0,0,62956.0,69711.0,66739.57142857143,5.0,38.5,25.1,0.0,55.0,13.399999999999999,0.0
2022-03-30,61224,0,0,0,0,0,54396.0,64986.0,64551.71428571428,5.0,38.7,25.4,0.0,56.0,13.300000000000004,0.0
2022-03-31,54273,0,0,0,0,0,61224.0,63042.0,64014.28571428572,6.0,38.8,25.7,0.0,57.0,13.099999999999998,0.0
2022-04-01,56958,0,0,0,0,0,54273.0,65418.0,62761.57142857143,5.0,38.9,25.3,0.0,55.0,13.599999999999998,0.0
2022-04-02,62925,1,0,0,1,0,56958.0,69897.0,61553.0,5.0,37.7,25.3,0.0,58.0,12.400000000000002,0.0
2022-04-03,71034,1,0,0,0,0,62925.0,71167.0,60557.0,6.0,37.5,25.3,0.3,58.0,12.2,0.26236426446749106
2022-04-04,66112,0,0,0,0,0,71034.0,62956.0,60538.0,6.0,36.9,24.5,0.0,60.0,12.399999999999999,0.0
2022-04-05,66381,0,0,0,0,0,66112.0,54396.0,60988.857142857145,6.0,36.8,25.0,0.0,62.0,11.799999999999997,0.0
2022-04-06,68009,0,0,0,0,0,66381.0,61224.0,62701.0,5.0,36.5,25.0,0.0,62.0,11.5,0.0
2022-04-07,65840,0,0,0,0,0,68009.0,54273.0,63670.28571428572,5.0,37.6,23.8,0.0,61.0,13.8,0.0
2022-04-08,60790,0,0,0,0,0,65840.0,56958.0,65322.71428571428,6.0,37.5,24.7,0.0,61.0,12.8,0.0
2022-04-09,70727,1,0,0,0,0,60790.0,62925.0,65870.14285714286,6.0,36.9,24.8,0.0,64.0,12.099999999999998,0.0
2022-04-10,66593,1,0,0,1,0,70727.0,71034.0,66984.71428571429,5.0,37.2,26.1,0.0,64.0,11.100000000000001,0.0
2022-04-11,63223,0,0,0,0,0,66593.0,66112.0,66350.28571428571,6.0,36.8,25.2,0.0,67.0,11.599999999999998,0.0
2022-04-12,72567,0,0,0,0,0,63223.0,66381.0,65937.57142857143,6.0,36.2,25.0,0.2,67.0,11.200000000000003,0.18232155679395465
2022-04-13,88748,0,0,0,0,0,72567.0,68009.0,66821.28571428571,6.0,37.1,24.4,0.0,67.0,12.700000000000003,0.0
2022-04-14,82722,0,0,1,1,0,88748.0,65840.0,69784.0,6.0,34.8,26.1,1.7,71.0,8.699999999999996,0.9932517730102833
2022-04-15,75110,0,0,1,0,0,82722.0,60790.0,72195.71428571429,6.0,36.5,25.9,0.1,64.0,10.600000000000001,0.09531017980432487
2022-04-16,76746,1,0,0,0,0,75110.0,70727.0,74241.42857142857,5.0,38.1,26.6,0.0,56.0,11.5,0.0
2022-04-17,68299,1,0,0,0,0,76746.0,66593.0,75101.28571428571,5.0,38.8,26.9,0.0,57.0,11.899999999999999,0.0
2022-04-18,64157,0,0,0,0,0,68299.0,63223.0,75345.0,5.0,37.6,27.2,0.0,58.0,10.400000000000002,0.0
2022-04-19,67858,0,0,0,0,0,64157.0,72567.0,75478.42857142857,5.0,36.7,25.5,0.3,65.0,11.200000000000003,0.26236426446749106
2022-04-20,66745,0,0,0,0,0,67858.0,88748.0,74805.71428571429,4.0,38.0,25.4,0.8,63.0,12.600000000000001,0.5877866649021191
2022-04-21,61278,0,0,0,0,0,66745.0,82722.0,71662.42857142857,4.0,39.0,25.7,0.0,63.0,13.3,0.0
2022-04-22,63084,0,0,0,0,0,61278.0,75110.0,68599.0,5.0,38.5,26.0,0.0,62.0,12.5,0.0
2022-04-23,75438,1,0,0,0,0,63084.0,76746.0,66881.0,5.0,37.6,25.3,0.0,60.0,12.3,0.0
2022-04-24,67347,1,0,0,0,0,75438.0,68299.0,66694.14285714286,5.0,38.2,25.2,0.0,59.0,13.000000000000004,0.0
2022-04-25,65763,0,0,0,0,0,67347.0,64157.0,66558.14285714286,5.0,40.4,25.6,0.0,55.0,14.799999999999997,0.0
